                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    191,                0.88057,                 1.1847,                0.91826,                 0.4486,                0.51285,                0.44785,                0.32353,                 1.0726,                 2.6551,                0.95313,              0.0099624,              0.0099624,              0.0099624
                    192,                 0.9642,                 1.1471,                 0.9266,                0.47156,                0.49521,                0.42254,                0.30018,                 1.0832,                 2.6161,                0.96519,              0.0099622,              0.0099622,              0.0099622
                    193,                0.97457,                 1.1603,                0.91893,                0.59565,                0.41131,                0.40088,                0.29101,                 1.0604,                 2.7536,                0.95898,               0.009962,               0.009962,               0.009962
                    194,                0.93851,                  1.123,                0.93813,                0.43451,                0.48262,                0.37018,                0.26651,                  1.095,                 2.7222,                0.96815,              0.0099618,              0.0099618,              0.0099618
                    195,                 1.0307,                 1.2395,                0.94971,                0.50663,                0.42375,                0.36894,                0.26517,                 1.1176,                 2.7233,                0.97625,              0.0099616,              0.0099616,              0.0099616
                    196,                0.91988,                 1.1269,                0.92431,                0.43038,                 0.4274,                0.40196,                0.29381,                 1.0569,                 2.7184,                0.96055,              0.0099614,              0.0099614,              0.0099614
                    197,                0.94547,                 1.1164,                0.91707,                0.32179,                0.49559,                0.43355,                0.32032,                 1.0848,                 2.6198,                0.95994,              0.0099612,              0.0099612,              0.0099612
                    198,                 0.9031,                 1.1289,                0.92233,                0.36919,                0.44514,                0.41246,                0.30249,                 1.0877,                 2.7131,                0.96901,               0.009961,               0.009961,               0.009961
                    199,                0.92245,                 1.1456,                0.92504,                0.39129,                0.52403,                0.45597,                0.32097,                  1.111,                 2.6322,                0.97232,              0.0099608,              0.0099608,              0.0099608
                    200,                0.90865,                 1.0944,                0.91445,                0.43331,                0.51458,                0.45536,                 0.3271,                 1.0954,                 2.6387,                0.96433,              0.0099606,              0.0099606,              0.0099606
                    201,                0.93199,                 1.1238,                0.93313,                0.45624,                 0.4459,                0.43094,                0.30958,                 1.0789,                 2.6552,                0.95516,              0.0099604,              0.0099604,              0.0099604
                    202,                0.93779,                 1.1279,                0.90693,                0.42944,                0.46416,                0.40913,                0.29019,                  1.103,                 2.7577,                 0.9605,              0.0099602,              0.0099602,              0.0099602
                    203,                 0.9172,                 1.1416,                0.95784,                 0.3526,                0.46938,                0.40482,                0.28825,                 1.0858,                  2.839,                0.94847,                0.00996,                0.00996,                0.00996
                    204,                0.83135,                 1.1009,                0.90097,                 0.3851,                0.44864,                0.37303,                0.27413,                 1.0978,                 2.8155,                0.95798,              0.0099598,              0.0099598,              0.0099598
                    205,                0.89669,                 1.1042,                0.90893,                0.27722,                0.42506,                0.34745,                0.25956,                 1.0482,                  2.827,                 0.9467,              0.0099596,              0.0099596,              0.0099596
                    206,                0.89344,                  1.097,                0.90845,                0.37514,                0.42399,                0.36101,                0.27148,                 1.0465,                 2.9579,                 0.9462,              0.0099594,              0.0099594,              0.0099594
                    207,                 0.8789,                  1.124,                0.92024,                0.25335,                0.37897,                0.35891,                0.26353,                 1.0533,                 2.9545,                0.95177,              0.0099592,              0.0099592,              0.0099592
                    208,                0.90683,                 1.0668,                0.91178,                0.33265,                0.38916,                 0.3551,                0.24963,                  1.121,                 2.8761,                0.97402,               0.009959,               0.009959,               0.009959
                    209,                0.94672,                 1.1134,                0.93588,                0.43588,                0.30407,                0.36908,                0.25804,                 1.1001,                 3.0237,                0.97346,              0.0099588,              0.0099588,              0.0099588
                    210,                0.95269,                 1.1703,                0.93878,                 0.4509,                0.31356,                0.38044,                0.26102,                  1.129,                 3.0663,                 0.9752,              0.0099586,              0.0099586,              0.0099586
                    211,                0.91133,                 1.0617,                0.91836,                0.36972,                0.44625,                0.42526,                0.29376,                 1.0732,                  2.822,                0.96654,              0.0099584,              0.0099584,              0.0099584
                    212,                0.95359,                 1.0805,                0.92356,                0.50381,                0.33031,                0.42232,                0.30087,                 1.1006,                  2.825,                0.96238,              0.0099582,              0.0099582,              0.0099582
                    213,                0.91105,                 1.0689,                0.91803,                0.38343,                0.45876,                0.42877,                0.30354,                 1.0425,                 2.7946,                0.95181,               0.009958,               0.009958,               0.009958
                    214,                0.94583,                 1.0956,                0.93095,                0.41263,                0.40434,                 0.4624,                0.32766,                 1.0367,                 2.7872,                0.94267,              0.0099578,              0.0099578,              0.0099578
                    215,                0.92139,                 1.1605,                0.93228,                0.46606,                0.38896,                 0.4631,                0.33816,                 1.0096,                 2.7875,                0.93871,              0.0099576,              0.0099576,              0.0099576
                    216,                0.90027,                 1.0693,                0.89163,                0.53189,                 0.3062,                0.43076,                0.31202,                 1.1059,                 2.6955,                0.96138,              0.0099574,              0.0099574,              0.0099574
                    217,                 0.9614,                  1.058,                0.92484,                0.43175,                0.48402,                0.47688,                0.34321,                 1.0311,                 2.6378,                0.94178,              0.0099572,              0.0099572,              0.0099572
                    218,                0.83678,                 1.0679,                0.88261,                0.39948,                0.53759,                0.45575,                0.32447,                 1.0444,                 2.7317,                0.95162,               0.009957,               0.009957,               0.009957
                    219,                 0.8286,                 1.0235,                0.89147,                0.44278,                0.49259,                0.49231,                0.34738,                 1.0658,                 2.7204,                0.95216,              0.0099568,              0.0099568,              0.0099568
                    220,                0.85145,                 1.0048,                0.91437,                0.43845,                0.55195,                0.52338,                0.37793,                 1.0237,                 2.5258,                0.93283,              0.0099566,              0.0099566,              0.0099566
                    221,                0.91377,                 1.0145,                0.91018,                0.34662,                0.45643,                0.48181,                0.34254,                 1.0659,                  2.675,                0.94577,              0.0099564,              0.0099564,              0.0099564
                    222,                0.85594,                0.99593,                0.90424,                0.39151,                0.55863,                0.45392,                0.33114,                 1.0357,                 2.6954,                0.93877,              0.0099562,              0.0099562,              0.0099562
                    223,                0.87547,                 1.0154,                0.89119,                0.48498,                0.50354,                0.46268,                0.33954,                 1.0459,                 2.7962,                0.94334,               0.009956,               0.009956,               0.009956
                    224,                0.92262,                 1.0985,                0.91968,                  0.398,                0.54222,                0.48557,                0.34992,                 1.0711,                 2.8849,                0.95134,              0.0099558,              0.0099558,              0.0099558
                    225,                0.93233,                 1.0284,                0.90865,                 0.4286,                0.44773,                0.47427,                0.34881,                 1.0711,                 2.8756,                0.94748,              0.0099556,              0.0099556,              0.0099556
                    226,                0.91125,                 1.0092,                0.90179,                0.43253,                 0.4796,                0.44413,                0.31148,                  1.105,                 2.9678,                0.95855,              0.0099555,              0.0099555,              0.0099555
                    227,                0.85542,                 1.0576,                0.91397,                0.35972,                0.37887,                0.36292,                0.26277,                 1.0429,                 3.0318,                0.94585,              0.0099553,              0.0099553,              0.0099553
                    228,                0.90876,                 1.0145,                 0.9038,                0.34031,                0.43831,                0.38329,                0.26833,                 1.1092,                 2.9971,                0.95948,              0.0099551,              0.0099551,              0.0099551
                    229,                0.85101,                0.99633,                0.88799,                0.40443,                0.38962,                0.38806,                0.26787,                 1.1127,                 3.1206,                 0.9625,              0.0099549,              0.0099549,              0.0099549
                    230,                0.85205,                 1.0136,                0.90856,                0.34926,                0.36006,                0.33301,                0.22704,                 1.1462,                 3.1619,                0.97569,              0.0099547,              0.0099547,              0.0099547
                    231,                0.93107,                 1.0513,                0.92675,                0.48171,                0.39617,                0.37885,                0.27594,                 1.0948,                 2.9679,                0.95772,              0.0099545,              0.0099545,              0.0099545
                    232,                0.91148,                 1.0477,                0.91702,                0.37032,                 0.4488,                0.43141,                0.30734,                 1.1434,                 2.9649,                0.97009,              0.0099543,              0.0099543,              0.0099543
                    233,                0.93925,                 1.0707,                0.91714,                0.41343,                0.49335,                 0.4289,                0.30375,                 1.1014,                 2.8418,                0.96268,              0.0099541,              0.0099541,              0.0099541
                    234,                0.95905,                 1.1246,                0.92868,                 0.4163,                0.47101,                0.42109,                0.30068,                 1.0702,                 2.8875,                0.95148,              0.0099539,              0.0099539,              0.0099539
                    235,                0.97764,                 1.1193,                0.92562,                0.37199,                0.42248,                0.39323,                0.28763,                 1.1004,                 3.0027,                0.95937,              0.0099537,              0.0099537,              0.0099537
                    236,                  0.812,                0.99356,                0.90387,                0.54328,                0.29903,                0.41569,                0.30729,                 1.0863,                 3.0377,                0.95098,              0.0099535,              0.0099535,              0.0099535
                    237,                0.90446,                0.99689,                0.90565,                0.44147,                0.38341,                0.40542,                0.30288,                 1.1028,                 3.1245,                0.96373,              0.0099533,              0.0099533,              0.0099533
                    238,                0.89344,                0.98835,                0.88714,                0.43667,                0.39122,                0.41739,                0.30514,                  1.083,                 3.0708,                0.95342,              0.0099531,              0.0099531,              0.0099531
                    239,                0.83498,                  1.056,                0.88401,                 0.4086,                0.42459,                0.44534,                0.32122,                 1.1276,                 2.9619,                0.98334,              0.0099529,              0.0099529,              0.0099529
                    240,                0.91367,                 1.0067,                0.90038,                0.41029,                0.42488,                0.45148,                0.32397,                 1.1009,                  2.887,                 0.9751,              0.0099527,              0.0099527,              0.0099527
                    241,                0.90717,                 1.0142,                0.93653,                0.41418,                0.43628,                0.44218,                0.31694,                 1.1295,                 2.8824,                0.98366,              0.0099525,              0.0099525,              0.0099525
                    242,                 0.8909,                0.97158,                0.90809,                0.44827,                0.42548,                0.46475,                0.34022,                 1.0788,                 2.8257,                0.97028,              0.0099523,              0.0099523,              0.0099523
                    243,                0.92563,                 1.0294,                0.91233,                0.37333,                0.47775,                 0.5035,                 0.3716,                 1.0861,                 2.6776,                  0.979,              0.0099521,              0.0099521,              0.0099521
                    244,                0.85875,                0.97265,                0.92583,                0.41686,                0.53842,                0.45112,                 0.3261,                 1.1324,                 2.6666,                 0.9913,              0.0099519,              0.0099519,              0.0099519
                    245,                0.84454,                0.95284,                0.89062,                0.40693,                0.49277,                0.50343,                0.37451,                 1.1019,                 2.6619,                0.97399,              0.0099517,              0.0099517,              0.0099517
                    246,                0.85251,                  1.058,                0.92947,                0.43922,                0.48231,                0.48588,                0.35786,                  1.077,                  2.592,                0.96602,              0.0099515,              0.0099515,              0.0099515
                    247,                0.88203,                 1.0132,                 0.9011,                0.42528,                0.50114,                0.47453,                0.33982,                 1.0632,                 2.6428,                0.95535,              0.0099513,              0.0099513,              0.0099513
                    248,                0.91777,                  1.068,                0.94341,                0.38518,                0.49888,                 0.4496,                0.33152,                 1.0773,                 2.6651,                0.96281,              0.0099511,              0.0099511,              0.0099511
                    249,                0.86818,                0.94952,                0.90424,                0.36162,                 0.4764,                0.46592,                0.34526,                 1.0445,                 2.7002,                0.95318,              0.0099509,              0.0099509,              0.0099509
                    250,                0.81549,                0.93242,                0.91196,                  0.414,                0.46833,                0.48218,                0.35535,                 1.0531,                 2.7596,                 0.9581,              0.0099507,              0.0099507,              0.0099507
                    251,                0.81829,                0.94636,                0.88284,                0.44798,                0.45297,                0.46712,                0.34648,                 1.0289,                 2.7004,                0.94836,              0.0099505,              0.0099505,              0.0099505
                    252,                0.81881,                 0.9609,                0.90653,                0.46541,                0.39717,                0.45075,                0.31815,                 1.0893,                 2.7802,                0.96472,              0.0099503,              0.0099503,              0.0099503
                    253,                0.86864,                0.97786,                0.89554,                0.46406,                0.44902,                0.43865,                0.31435,                 1.0707,                 2.8493,                0.95924,              0.0099501,              0.0099501,              0.0099501
                    254,                0.89617,                0.97479,                0.91424,                 0.3583,                0.42726,                0.44574,                0.32215,                 1.0586,                 2.8148,                0.95646,              0.0099499,              0.0099499,              0.0099499
                    255,                0.80975,                0.96671,                0.91494,                0.38458,                0.43394,                0.46874,                0.34095,                 1.0133,                 2.7945,                0.94224,              0.0099497,              0.0099497,              0.0099497
                    256,                0.83832,                0.96624,                0.90901,                 0.3786,                0.44935,                0.45328,                0.33681,                0.98986,                    2.7,                0.93368,              0.0099495,              0.0099495,              0.0099495
                    257,                0.83813,                0.99427,                0.90344,                0.37186,                0.45755,                0.44828,                0.32765,                0.98257,                 2.7277,                0.93055,              0.0099493,              0.0099493,              0.0099493
                    258,                0.86206,                0.94968,                0.90133,                0.35029,                0.40235,                0.45711,                0.33204,                 1.0115,                 2.7826,                 0.9376,              0.0099491,              0.0099491,              0.0099491
                    259,                0.83439,                0.95416,                0.88872,                0.43202,                0.42874,                0.40189,                0.29676,                  1.006,                 2.9608,                0.93256,              0.0099489,              0.0099489,              0.0099489
                    260,                 0.8364,                0.91648,                0.87997,                0.40912,                0.46788,                0.45375,                0.32866,                 1.0465,                 2.7557,                0.95796,              0.0099487,              0.0099487,              0.0099487
                    261,                0.86924,                0.92802,                0.93707,                 0.4395,                0.47357,                0.45831,                0.33909,                 1.0157,                  2.799,                0.93864,              0.0099485,              0.0099485,              0.0099485
                    262,                0.86101,                0.89927,                0.89403,                0.37059,                0.42264,                 0.4506,                  0.325,                 1.0675,                 2.9002,                0.95489,              0.0099483,              0.0099483,              0.0099483
                    263,                0.88034,                0.97092,                0.90626,                0.39637,                0.47553,                 0.4664,                0.34046,                 1.0785,                 2.9048,                0.95532,              0.0099481,              0.0099481,              0.0099481
                    264,                0.82798,                0.92105,                 0.8943,                0.43383,                0.45618,                0.43317,                0.31323,                 1.0583,                 2.9477,                0.95252,              0.0099479,              0.0099479,              0.0099479
                    265,                0.87745,                0.92197,                0.90572,                0.44246,                0.42713,                0.44026,                0.31937,                 1.0946,                 3.0717,                0.96474,              0.0099477,              0.0099477,              0.0099477
                    266,                0.80238,                0.87178,                0.90308,                0.52637,                0.46283,                0.45067,                0.33416,                 1.0492,                 3.0062,                0.95178,              0.0099475,              0.0099475,              0.0099475
                    267,                0.76427,                0.91538,                0.90756,                0.55419,                 0.4073,                0.43249,                0.31355,                 1.0278,                  2.877,                0.95028,              0.0099473,              0.0099473,              0.0099473
                    268,                0.86811,                0.96926,                0.89991,                 0.4463,                0.42882,                 0.4304,                0.31927,                 1.0246,                 2.9408,                0.95159,              0.0099471,              0.0099471,              0.0099471
                    269,                0.79911,                0.93005,                 0.8848,                0.51405,                0.41424,                0.42113,                0.31057,                 1.0392,                  2.953,                0.95172,              0.0099469,              0.0099469,              0.0099469
                    270,                 0.8523,                0.90367,                0.90573,                0.46774,                0.43184,                 0.4525,                0.33123,                 1.0715,                 3.0149,                0.96169,              0.0099467,              0.0099467,              0.0099467
                    271,                0.88238,                0.96591,                0.89729,                0.46792,                0.40003,                0.44812,                0.32538,                 1.0752,                 2.9694,                0.96006,              0.0099465,              0.0099465,              0.0099465
                    272,                0.83751,                0.88599,                 0.8777,                0.39446,                0.44221,                0.45977,                 0.3404,                 1.0529,                  2.903,                0.95603,              0.0099463,              0.0099463,              0.0099463
                    273,                0.81656,                0.88322,                0.90754,                0.42299,                0.39722,                0.43357,                 0.3079,                 1.1041,                 2.9643,                0.97265,              0.0099461,              0.0099461,              0.0099461
                    274,                0.75753,                0.85307,                0.90249,                0.64409,                0.29395,                0.44244,                0.32262,                 1.0453,                 2.9091,                0.95242,              0.0099459,              0.0099459,              0.0099459
                    275,                0.82794,                0.91844,                0.91064,                0.48953,                0.40784,                0.41934,                0.30505,                 1.0961,                 3.0551,                 0.9645,              0.0099457,              0.0099457,              0.0099457
                    276,                0.88397,                0.94025,                0.90306,                 0.5111,                0.45015,                0.43194,                0.31788,                 1.0788,                 2.9712,                0.96058,              0.0099456,              0.0099456,              0.0099456
                    277,                0.80735,                0.91262,                0.89463,                0.45962,                0.44881,                0.42781,                0.31356,                 1.0759,                  2.967,                0.95793,              0.0099454,              0.0099454,              0.0099454
                    278,                0.83066,                0.93546,                0.88811,                0.47478,                0.37926,                0.42792,                0.31652,                  1.067,                 3.0929,                 0.9532,              0.0099452,              0.0099452,              0.0099452
                    279,                0.75907,                0.91068,                0.88163,                0.46623,                0.35411,                0.45899,                0.32698,                 1.0894,                 3.1041,                0.96044,               0.009945,               0.009945,               0.009945
                    280,                0.89208,                0.91389,                0.89134,                0.39834,                0.39175,                0.44615,                0.32341,                 1.0635,                 3.0469,                0.95531,              0.0099448,              0.0099448,              0.0099448
                    281,                0.86906,                0.92164,                0.92218,                0.45868,                0.46195,                0.46952,                0.33058,                  1.104,                 2.9661,                0.96311,              0.0099446,              0.0099446,              0.0099446
                    282,                0.79271,                0.83419,                0.88043,                 0.4271,                0.44442,                0.47046,                0.34083,                  1.063,                 2.8728,                0.95471,              0.0099444,              0.0099444,              0.0099444
                    283,                0.83946,                 0.8713,                0.89404,                0.43014,                 0.4103,                0.43597,                0.31597,                 1.0622,                 2.9793,                0.95766,              0.0099442,              0.0099442,              0.0099442
                    284,                0.90083,                0.93783,                0.91969,                0.46642,                 0.4635,                0.46122,                0.33978,                 1.0702,                 2.8635,                0.95453,               0.009944,               0.009944,               0.009944
                    285,                0.82325,                0.92706,                0.90407,                0.46735,                0.48005,                0.48878,                0.36092,                 1.0615,                 2.6735,                0.96221,              0.0099438,              0.0099438,              0.0099438
                    286,                0.83547,                0.91677,                0.90097,                0.41104,                0.52188,                 0.4736,                 0.3429,                 1.0377,                 2.6649,                0.95372,              0.0099436,              0.0099436,              0.0099436
                    287,                0.87032,                0.99005,                 0.9176,                0.45575,                0.46403,                0.50275,                0.36032,                 1.0687,                 2.5549,                 0.9749,              0.0099434,              0.0099434,              0.0099434
                    288,                0.83966,                 0.8753,                0.88962,                0.37087,                0.57215,                0.48374,                0.34735,                 1.0389,                 2.5582,                 0.9557,              0.0099432,              0.0099432,              0.0099432
                    289,                0.83545,                0.89484,                0.89229,                 0.5653,                0.38155,                0.48714,                0.35043,                 1.0708,                  2.603,                0.97074,               0.009943,               0.009943,               0.009943
                    290,                0.85198,                0.90093,                0.90123,                0.39934,                0.48071,                0.46334,                0.33529,                 1.0894,                 2.7171,                0.96825,              0.0099428,              0.0099428,              0.0099428
                    291,                0.80088,                0.89375,                0.89104,                0.40495,                0.47269,                0.44848,                0.31725,                 1.1141,                 2.8054,                0.97052,              0.0099426,              0.0099426,              0.0099426
                    292,                0.84301,                0.97759,                0.92151,                 0.4001,                0.46438,                0.46736,                0.33728,                 1.1241,                 2.8666,                0.98184,              0.0099424,              0.0099424,              0.0099424
                    293,                0.79106,                 0.8938,                0.88739,                0.40847,                0.47576,                0.47047,                0.34183,                 1.0852,                  2.866,                0.96827,              0.0099422,              0.0099422,              0.0099422
                    294,                0.80807,                0.87422,                0.88718,                0.40811,                0.47004,                0.47598,                0.35122,                 1.0843,                 2.7612,                0.97016,               0.009942,               0.009942,               0.009942
                    295,                0.75454,                0.83644,                0.87819,                 0.3952,                 0.4515,                0.47181,                0.33958,                  1.101,                 2.8071,                0.97419,              0.0099418,              0.0099418,              0.0099418
                    296,                0.81645,                0.89499,                0.88412,                0.37203,                0.50793,                0.45933,                0.33271,                 1.0785,                 2.7906,                0.96874,              0.0099416,              0.0099416,              0.0099416
                    297,                 0.8049,                0.88892,                0.87352,                0.37254,                0.51723,                0.46822,                0.33836,                 1.0822,                 2.7932,                0.97376,              0.0099414,              0.0099414,              0.0099414
                    298,                0.78792,                0.92216,                0.89151,                0.42529,                0.41826,                0.45358,                0.33424,                 1.0723,                 2.8917,                0.96315,              0.0099412,              0.0099412,              0.0099412
                    299,                0.83262,                0.86197,                0.88819,                0.46844,                0.41345,                0.46335,                0.33838,                 1.0819,                 2.8892,                0.97349,               0.009941,               0.009941,               0.009941
                    300,                0.81052,                 0.8614,                0.88482,                0.41146,                0.46068,                0.46949,                0.34126,                 1.0653,                 2.7726,                0.96734,              0.0099408,              0.0099408,              0.0099408
                    301,                0.79515,                  0.858,                0.88181,                  0.349,                0.47961,                0.48092,                0.34625,                 1.0717,                 2.8194,                0.97036,              0.0099406,              0.0099406,              0.0099406
                    302,                0.75377,                0.85149,                0.89459,                0.40915,                0.48001,                0.49606,                0.36681,                 1.0577,                 2.8169,                0.96097,              0.0099404,              0.0099404,              0.0099404
                    303,                0.86979,                0.89119,                0.89962,                0.42898,                0.45386,                0.48972,                0.35373,                 1.0535,                 2.7909,                0.95994,              0.0099402,              0.0099402,              0.0099402
                    304,                0.86257,                 0.8959,                0.90489,                0.39969,                0.39057,                0.48453,                 0.3496,                 1.0973,                 2.9685,                0.97109,                0.00994,                0.00994,                0.00994
                    305,                0.80162,                0.82798,                0.89037,                0.37213,                0.45799,                0.49358,                0.35796,                 1.0732,                 2.8538,                0.96301,              0.0099398,              0.0099398,              0.0099398
                    306,                0.79849,                0.88031,                0.89005,                 0.3787,                 0.4532,                0.46914,                0.34121,                  1.077,                 2.9483,                0.95777,              0.0099396,              0.0099396,              0.0099396
                    307,                0.74923,                  0.805,                0.86102,                0.39042,                0.51118,                0.49642,                0.35342,                 1.0945,                 2.8648,                0.96298,              0.0099394,              0.0099394,              0.0099394
                    308,                0.85468,                0.82924,                0.87576,                0.40882,                0.53523,                 0.5068,                0.36648,                 1.0725,                 2.8101,                0.95723,              0.0099392,              0.0099392,              0.0099392
                    309,                 0.8041,                0.87585,                0.89913,                0.37818,                0.48589,                0.48804,                0.34238,                 1.1071,                 2.9051,                0.96723,               0.009939,               0.009939,               0.009939
                    310,                0.85238,                0.88679,                0.89212,                 0.3298,                0.49521,                0.47346,                0.34386,                 1.0728,                 2.9331,                 0.9586,              0.0099388,              0.0099388,              0.0099388
                    311,                0.78211,                0.86942,                0.87757,                 0.4579,                0.46338,                 0.4558,                0.33005,                 1.0744,                 3.0511,                0.95573,              0.0099386,              0.0099386,              0.0099386
                    312,                0.81433,                0.88584,                0.88061,                0.39855,                0.46962,                0.43769,                0.31484,                 1.0393,                 3.0821,                0.93909,              0.0099384,              0.0099384,              0.0099384
                    313,                 0.8215,                0.90266,                0.88235,                0.42407,                0.42859,                0.43909,                0.31681,                 1.0325,                 3.1514,                  0.939,              0.0099382,              0.0099382,              0.0099382
                    314,                0.76586,                0.83243,                0.86947,                0.30734,                0.44121,                0.48383,                0.35447,                 1.0442,                 2.9567,                0.94753,               0.009938,               0.009938,               0.009938
                    315,                0.80436,                0.87178,                0.89787,                0.38922,                0.46153,                 0.4773,                0.34665,                 1.0456,                 2.9875,                0.95961,              0.0099378,              0.0099378,              0.0099378
                    316,                0.81506,                 0.8345,                0.88417,                0.43167,                0.44316,                0.48724,                0.36376,                 1.0268,                 2.9188,                0.94691,              0.0099376,              0.0099376,              0.0099376
                    317,                0.73435,                0.81353,                0.87799,                0.53592,                0.40786,                0.46545,                0.34488,                 1.0656,                 2.9636,                 0.9621,              0.0099374,              0.0099374,              0.0099374
                    318,                0.75754,                0.83144,                0.87758,                  0.371,                0.45056,                0.45872,                0.34382,                 1.0597,                 2.8154,                0.96337,              0.0099372,              0.0099372,              0.0099372
                    319,                0.74005,                0.87997,                0.89718,                0.54241,                0.40934,                0.45719,                 0.3316,                 1.0579,                 2.7153,                0.96446,               0.009937,               0.009937,               0.009937
                    320,                 0.8216,                0.84419,                0.90492,                0.43077,                0.50218,                0.45881,                0.34044,                 1.0418,                 2.7344,                0.96195,              0.0099368,              0.0099368,              0.0099368
                    321,                0.83271,                 0.8528,                0.89544,                0.41898,                0.51692,                0.44019,                0.32682,                 1.0482,                 2.7753,                0.95876,              0.0099366,              0.0099366,              0.0099366
                    322,                0.79656,                0.81586,                0.88729,                0.45125,                0.49395,                0.43469,                0.32391,                 1.0581,                 2.7683,                0.96322,              0.0099364,              0.0099364,              0.0099364
                    323,                0.78951,                0.85483,                0.88409,                0.51893,                0.40901,                0.47644,                0.35517,                 1.0439,                 2.8255,                0.95504,              0.0099362,              0.0099362,              0.0099362
                    324,                0.81425,                0.82757,                0.87425,                0.47402,                0.48492,                0.48927,                0.36168,                 1.0461,                 2.7036,                0.95167,               0.009936,               0.009936,               0.009936
