                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3178,                 3.2525,                 1.0181,                0.24079,                0.35208,                 0.1233,                0.08509,                 1.1312,                 3.4743,                0.97714,              0.0099933,              0.0099933,              0.0099933
                     36,                 1.3277,                 3.2689,                 1.0102,                0.18742,                0.35251,                0.12584,                0.08788,                 1.1955,                 3.3391,                0.99498,              0.0099931,              0.0099931,              0.0099931
                     37,                 1.3482,                  3.233,                 1.0112,                0.37505,                0.22311,                0.12015,                0.08619,                 1.0731,                 3.4308,                0.96313,              0.0099929,              0.0099929,              0.0099929
                     38,                 1.2851,                 3.1773,                 1.0078,                0.40222,                0.24094,                0.12805,                0.09133,                 1.1648,                 3.3279,                 1.0003,              0.0099927,              0.0099927,              0.0099927
                     39,                 1.3516,                 3.3125,                 1.0208,                0.40017,                0.22901,                0.13542,                0.09374,                  1.166,                 3.2482,                0.98181,              0.0099925,              0.0099925,              0.0099925
                     40,                 1.2914,                 3.2196,                 1.0179,                0.44177,                0.23128,                0.14316,                0.09492,                 1.1193,                 3.2349,                 0.9788,              0.0099923,              0.0099923,              0.0099923
                     41,                 1.2762,                 3.1606,                 1.0263,                0.49804,                0.20104,                0.11473,                0.07284,                 1.2496,                 3.4441,                 1.0284,              0.0099921,              0.0099921,              0.0099921
                     42,                 1.3316,                 3.1188,                 1.0104,                 0.4174,                0.29416,                0.14178,                0.09511,                 1.1476,                 3.2246,                 0.9898,              0.0099919,              0.0099919,              0.0099919
                     43,                 1.2127,                 3.1291,                 1.0306,                0.35057,                0.25667,                0.18386,                0.13268,                 1.0511,                 3.0895,                0.95715,              0.0099917,              0.0099917,              0.0099917
                     44,                 1.1574,                 3.0949,                 1.0326,                0.22695,                0.47879,                0.20102,                0.14739,                 1.0804,                 3.3914,                 0.9702,              0.0099915,              0.0099915,              0.0099915
                     45,                 1.1948,                 3.0856,                 1.0005,                 0.2613,                0.33422,                0.19381,                0.13511,                 1.0903,                 2.8961,                0.96343,              0.0099913,              0.0099913,              0.0099913
                     46,                 1.2623,                 3.1302,                 1.0193,                0.08389,                  0.654,                0.20581,                0.15399,                 1.1207,                 3.0485,                0.97529,              0.0099911,              0.0099911,              0.0099911
                     47,                 1.2108,                 3.0211,                 1.0019,                0.29866,                 0.4875,                0.16995,                0.11497,                 1.1432,                 3.2202,                0.98386,              0.0099909,              0.0099909,              0.0099909
                     48,                 1.2722,                 2.9974,                 1.0168,                0.35539,                0.26128,                 0.1781,                0.12926,                 1.1587,                 2.9008,                 1.0122,              0.0099907,              0.0099907,              0.0099907
                     49,                 1.2661,                 3.0551,                 1.0146,                0.26404,                0.39919,                0.17134,                0.11749,                 1.1955,                 2.9514,                 1.0132,              0.0099905,              0.0099905,              0.0099905
                     50,                 1.2876,                 3.0662,                 1.0072,                 0.1024,                0.50792,                0.19243,                0.12659,                 1.0725,                 3.0658,                0.96832,              0.0099903,              0.0099903,              0.0099903
                     51,                 1.1951,                 3.0577,                 1.0082,                0.33195,                0.27869,                0.17225,                0.12479,                 1.0831,                 3.0969,                0.97745,              0.0099901,              0.0099901,              0.0099901
                     52,                 1.2343,                 2.9556,                0.99095,                0.39793,                0.29346,                0.16299,                0.11043,                 1.1265,                 3.1892,                0.98339,              0.0099899,              0.0099899,              0.0099899
                     53,                 1.2366,                 2.8914,                0.98445,                0.27976,                0.23953,                0.19781,                0.13963,                 1.0902,                 3.1097,                0.97346,              0.0099897,              0.0099897,              0.0099897
                     54,                 1.2206,                 2.9209,                 1.0264,                0.31147,                0.35677,                0.19002,                0.12352,                 1.2843,                 3.2152,                 1.0298,              0.0099895,              0.0099895,              0.0099895
                     55,                 1.2435,                 2.9771,                 1.0234,                0.26217,                0.28886,                0.19895,                0.14562,                 1.2184,                 3.2461,                 1.0045,              0.0099893,              0.0099893,              0.0099893
                     56,                 1.2356,                 2.8661,                 1.0155,                0.33486,                0.30567,                0.22452,                0.15742,                 1.1331,                 2.9932,                0.98633,              0.0099891,              0.0099891,              0.0099891
                     57,                 1.1824,                 2.8945,                 1.0097,                0.04133,                0.91406,                0.22761,                0.16869,                  1.125,                 3.1161,                0.96357,              0.0099889,              0.0099889,              0.0099889
                     58,                 1.1392,                 2.8991,                0.98901,                0.29498,                0.30286,                  0.211,                0.15452,                 1.0827,                 2.9112,                0.96733,              0.0099887,              0.0099887,              0.0099887
                     59,                 1.1649,                 2.8231,                 0.9903,                0.29835,                0.40066,                0.24005,                0.17535,                 1.1081,                 2.9429,                0.97449,              0.0099885,              0.0099885,              0.0099885
                     60,                 1.1242,                 2.8274,                0.99067,                0.34404,                0.35635,                0.24741,                0.17012,                 1.1266,                 3.0327,                0.97477,              0.0099883,              0.0099883,              0.0099883
                     61,                 1.1209,                 2.8424,                0.95795,                0.28349,                0.48514,                0.23797,                0.16383,                 1.1349,                 3.0803,                0.98735,              0.0099881,              0.0099881,              0.0099881
                     62,                 1.2595,                 2.8279,                0.99216,                 0.2685,                0.52721,                 0.2647,                 0.1871,                  1.113,                 3.0073,                 0.9783,              0.0099879,              0.0099879,              0.0099879
                     63,                 1.2637,                 2.8274,                  1.009,                0.25167,                0.43367,                0.26314,                0.18569,                 1.1268,                 2.9065,                0.97498,              0.0099877,              0.0099877,              0.0099877
                     64,                 1.2028,                  2.733,                0.98765,                0.28007,                0.50962,                0.25609,                0.17678,                 1.1439,                 3.1613,                0.99347,              0.0099875,              0.0099875,              0.0099875
                     65,                 1.1591,                 2.6838,                0.99569,                0.49975,                 0.3535,                0.28086,                0.19532,                 1.0806,                 2.9854,                 0.9782,              0.0099873,              0.0099873,              0.0099873
                     66,                 1.2413,                 2.7631,                 1.0059,                0.37589,                0.39101,                0.27509,                0.19245,                 1.1866,                 3.0354,                0.98876,              0.0099871,              0.0099871,              0.0099871
                     67,                 1.1731,                 2.7009,                0.99423,                0.27752,                 0.3942,                0.26563,                0.18231,                 1.0582,                 2.9362,                 0.9589,              0.0099869,              0.0099869,              0.0099869
                     68,                 1.2349,                 2.6131,                0.98537,                  0.271,                0.38331,                0.25448,                0.17594,                 1.2002,                 3.1217,                 1.0129,              0.0099867,              0.0099867,              0.0099867
                     69,                 1.3203,                 2.7168,                 1.0104,                0.40595,                0.30591,                0.22541,                0.16331,                 1.0658,                 2.9969,                0.97548,              0.0099865,              0.0099865,              0.0099865
                     70,                  1.176,                 2.6021,                 1.0069,                0.47495,                0.35855,                0.30772,                0.22575,                 1.0822,                 3.1567,                0.97386,              0.0099863,              0.0099863,              0.0099863
                     71,                 1.2532,                 2.6411,                0.98921,                0.47076,                0.46977,                0.31035,                0.22569,                 1.0917,                 2.8713,                0.96685,              0.0099861,              0.0099861,              0.0099861
                     72,                 1.1447,                 2.6991,                0.97382,                0.45212,                0.31117,                0.28641,                0.19763,                 1.1071,                  2.879,                0.96634,              0.0099859,              0.0099859,              0.0099859
                     73,                  1.176,                 2.6016,                  1.002,                0.31014,                0.43405,                0.29859,                0.21661,                 1.0518,                  2.784,                0.95666,              0.0099857,              0.0099857,              0.0099857
                     74,                 1.1523,                 2.5669,                0.97708,                0.48114,                0.31178,                0.31727,                0.22556,                 1.1766,                 2.9231,                0.98369,              0.0099855,              0.0099855,              0.0099855
                     75,                  1.197,                 2.5515,                0.98997,                0.40114,                0.32719,                0.35909,                0.26405,                 1.0956,                 2.8377,                 0.9652,              0.0099853,              0.0099853,              0.0099853
                     76,                 1.0901,                 2.5043,                0.97072,                0.30679,                0.46046,                0.31737,                0.20838,                 1.1713,                 2.8408,                0.98529,              0.0099851,              0.0099851,              0.0099851
